id,jobname,joburl,jobcategory,companyname,companyurl,companycategory
dusk1,General Application,https://dusk.network/career/other-roles/,OTHER,Dusk,https://dusk.network/career/other-roles/,DarkFi
zama1,Senior Software Engineer - KMS,https://jobs.zama.ai/companies/zama/jobs/software-engineer-secure-enclaves_paris,ENGINEERING,Zama,https://jobs.zama.ai/,Infra
zama2,Blockchain Engineer - Backend,https://jobs.zama.ai/companies/zama/jobs/blockchain-engineer-backend_paris,ENGINEERING,Zama,https://jobs.zama.ai/,Infra
zama3,FPGA - Hardware Engineer,https://jobs.zama.ai/companies/zama/jobs/rtl-design-engineer_paris,ENGINEERING,Zama,https://jobs.zama.ai/,Infra
zama4,Business Development Director - Financial Institutions,https://jobs.zama.ai/companies/zama/jobs/business-development-director-us-blockchain_paris,SALES,Zama,https://jobs.zama.ai/,Infra
zama5,Homomorphic Encryption Researcher,https://jobs.zama.ai/companies/zama/jobs/senior-researcher-cryptography_paris,RESEARCH,Zama,https://jobs.zama.ai/,Infra
zama6,Marketing Lead - Blockchain,https://jobs.zama.ai/companies/zama/jobs/marketing-lead-blockchain_paris,MARKETING,Zama,https://jobs.zama.ai/,Infra
zama7,Blockchain Engineer - Solana,https://jobs.zama.ai/companies/zama/jobs/blockchain-engineer-solana_paris,ENGINEERING,Zama,,
zama8,Full Stack Developer,https://jobs.zama.ai/companies/zama/jobs/senior-full-stack-developer-zama-console_paris,ENGINEERING,Zama,,
zama9,Solutions Architect - Blockchain,https://jobs.zama.ai/companies/zama/jobs/project-engineering-manager_paris,ENGINEERING,Zama,,
zama10,Business Development Director - Decentralized & Collaborative AI,https://jobs.zama.ai/companies/zama/jobs/business-development-director-decentralized-collaborative-ai_paris,SALES,Zama,,
kelp1,Web Developer,https://kelp.notion.site/Web-Developer-Svelte-SvelteKit-GraphQL-Tailwind-100-Remote-4a890c0a7c6c4208a68ff2eb25648c46,ENGINEERING,Kelp,https://kelp.notion.site/Kelp-Anagolay-Careers-c27cebdedf29461abda591bc23bad3f6,DID
kelp2,Backend Developer,https://kelp.notion.site/Backend-Developer-TypeScript-GraphQL-NodeJS-100-Remote-c2eb6a29bc8e41dab370d5e8f0c83327,ENGINEERING,Kelp,https://kelp.notion.site/Kelp-Anagolay-Careers-c27cebdedf29461abda591bc23bad3f6,DID
kelp3,Marketing & Community Architect,https://kelp.notion.site/Marketing-Community-Architect-351c7c1ffcc24a2c9e1a13a48b47cc42,MARKETING,Kelp,https://kelp.notion.site/Kelp-Anagolay-Careers-c27cebdedf29461abda591bc23bad3f6,DID
kelp4,Technical Writer,https://kelp.notion.site/Technical-Writer-1807fce2f97b4ba19da2454931ad5224,MARKETING,Kelp,https://kelp.notion.site/Kelp-Anagolay-Careers-c27cebdedf29461abda591bc23bad3f6,DID
transferchain1,Backend Developer,https://angel.co/company/transferchain/jobs/668540-backend-developer,ENGINEERING,TransferChain,https://transferchain.io/careers,Storage
